,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,Talgar,75,KZ,1547964000,64,43.3,77.24,1.0,2.0
92,Okha,32,RU,1547965055,95,53.59,142.95,-17.61,8.56
93,Hambantota,75,LK,1547961000,66,6.12,81.12,29.0,3.1
94,Busselton,0,AU,1547964921,62,-33.64,115.35,29.24,2.71
95,Hermanus,24,ZA,1547964960,74,-34.42,19.24,13.49,1.71
96,Keti Bandar,0,PK,1547965273,100,24.14,67.45,19.89,3.26
97,Hithadhoo,88,MV,1547964957,100,-0.6,73.08,26.34,3.46
98,Fortuna,75,ES,1547962200,93,38.18,-1.13,10.0,2.6
99,Bonavista,44,CA,1547965015,100,48.65,-53.11,-9.91,9.01
100,Puerto Ayora,92,EC,1547964933,100,-0.74,-90.35,24.89,3.51
101,Provideniya,80,RU,1547964919,100,64.42,-173.23,-10.36,3.21
102,Hokitika,92,NZ,1547965274,98,-42.72,170.96,15.39,8.06
103,Koygorodok,68,RU,1547965275,74,60.44,51.01,-10.26,2.11
104,Ballina,75,IE,1547964000,100,54.11,-9.15,5.0,9.8
105,Margate,0,AU,1547962200,26,-43.03,147.26,27.0,8.2
106,Ribeira Grande,64,PT,1547965091,97,38.52,-28.7,17.04,3.36
107,Port Elizabeth,90,US,1547964240,96,39.31,-74.98,8.0,5.1
108,Yellowknife,90,CA,1547962500,76,62.45,-114.38,-20.0,8.2
109,Morondava,88,MG,1547965276,79,-20.3,44.28,30.84,2.76
110,Avarua,75,CK,1547964000,83,-21.21,-159.78,27.0,2.6
111,Mehamn,80,NO,1547965091,92,71.03,27.85,-5.16,4.91
112,Port Alfred,44,ZA,1547964721,100,-33.59,26.89,16.54,2.41
113,Taoudenni,0,ML,1547964972,47,22.68,-3.98,1.44,1.31
114,Castanos,0,MX,1547965277,71,26.78,-101.42,1.64,1.41
115,Segovia,20,ES,1547962200,100,40.95,-4.12,3.0,3.1
116,Covington,90,US,1547963760,80,35.56,-89.65,-0.6,9.3
117,Vanavara,20,RU,1547964949,66,60.35,102.28,-9.91,2.81
118,Zeerust,0,ZA,1547964000,56,-25.54,26.07,23.0,6.2
119,Angicos,32,BR,1547965279,98,-5.67,-36.6,21.99,2.31
120,Victoria,75,BN,1547962200,79,5.28,115.24,30.0,5.1
121,Sunrise Manor,1,US,1547963760,62,36.21,-115.07,11.1,2.1
122,Chuy,0,UY,1547964983,93,-33.69,-53.46,16.84,4.26
123,Kimbe,92,PG,1547965280,100,-5.56,150.15,25.04,1.86
124,Semme,56,FR,1547962200,93,46.2,1.5,4.0,2.31
125,Whyalla,0,AU,1547964000,40,-33.04,137.58,30.0,7.7
126,Hobart,0,AU,1547962200,26,-42.88,147.33,27.0,8.2
127,Manggar,92,ID,1547965282,97,-2.88,108.27,26.94,4.86
128,Kavieng,88,PG,1547964943,100,-2.57,150.8,26.24,4.21
129,Henties Bay,0,NA,1547964991,100,-22.12,14.28,17.34,3.41
130,Pacific Grove,1,US,1547964000,79,36.62,-121.92,12.8,0.71
131,Northam,48,GB,1547959800,93,51.04,-4.21,5.0,2.6
132,Tete,75,MZ,1547960400,94,-16.16,33.59,25.0,1.76
133,Stonewall,40,CA,1547960400,67,50.13,-97.33,-30.0,3.6
134,Vuktyl,68,RU,1547965284,77,63.86,57.31,-8.26,3.01
135,Beringovskiy,80,RU,1547965076,100,63.05,179.32,-16.36,2.61
136,Miraflores,92,CO,1547965285,100,5.2,-73.14,10.59,0.76
137,Bethel,90,US,1547963580,83,60.79,-161.76,-10.6,3.1
138,Eureka,75,US,1547962500,100,40.8,-124.16,14.4,1.5
139,Airai,88,TL,1547964949,86,-8.93,125.41,24.84,1.01
140,Butaritari,88,KI,1547964928,100,3.07,172.79,28.29,6.66
141,Shubarshi,88,KZ,1547965286,90,48.59,57.19,-6.61,2.36
142,Dinar,20,TR,1547963400,100,38.07,30.16,4.0,1.01
143,Aketi,64,CD,1547965287,80,2.74,23.78,24.74,1.36
144,San Luis,12,AR,1547965070,43,-33.3,-66.34,21.09,7.16
145,Lazarev,0,RU,1547965288,62,52.23,141.51,-19.46,2.66
146,Padang,20,ID,1547962200,74,-0.92,100.36,31.0,5.1
147,Petropavlovsk-Kamchatskiy,75,RU,1547960400,69,53.05,158.65,2.0,6.0
148,Narasannapeta,0,IN,1547965289,53,18.42,84.04,28.24,0.96
149,Faanui,88,PF,1547964956,100,-16.48,-151.75,28.79,5.36
150,Georgetown,100,GY,1547964946,97,6.8,-58.16,23.14,3.06
151,Tiarei,75,PF,1547964000,69,-17.53,-149.33,28.0,1.5
152,Arman,92,RU,1547965076,76,59.7,150.17,-13.06,2.76
153,Esmeralda,36,CL,1547965290,73,-34.33,-70.9,12.59,0.61
154,Opuwo,48,NA,1547965040,54,-18.06,13.84,19.24,1.71
155,Oga,8,NG,1547965291,77,8.18,5.65,22.64,4.31
156,Bambous Virieux,40,MU,1547964000,66,-20.34,57.76,30.0,7.2
157,Ancud,75,CL,1547964000,100,-41.87,-73.83,10.0,1.0
158,Ahipara,0,NZ,1547964975,81,-35.17,173.16,21.89,2.91
159,Hualmay,8,PE,1547965065,95,-11.1,-77.61,17.89,1.31
160,Ambilobe,92,MG,1547964990,100,-13.19,49.05,23.99,3.51
161,Cherskiy,0,RU,1547964980,0,68.75,161.3,-37.66,1.06
162,Zeya,0,RU,1547965293,58,53.74,127.27,-19.31,1.16
163,Nanortalik,44,GL,1547964952,100,60.14,-45.24,-4.41,9.71
164,Atar,0,MR,1547964994,71,20.52,-13.05,4.79,2.46
165,Guilin,90,CN,1547964000,81,25.28,110.29,10.0,4.0
166,Oktyabrskiy,75,RU,1547962200,85,55.61,37.97,-5.0,5.0
167,Butia,36,BR,1547965294,93,-21.88,-47.57,19.74,1.71
168,Sibolga,88,ID,1547964932,90,1.74,98.78,24.49,1.21
169,Mehran,0,IR,1547964000,78,33.12,46.17,0.0,3.1
170,Husavik,0,CA,1547965042,0,50.56,-96.99,-39.81,1.46
171,Pointe-Noire,40,CG,1547960400,100,-4.8,11.85,25.0,1.0
172,Marawi,92,PH,1547965023,100,8.0,124.29,20.54,1.41
173,Maceio,40,BR,1547964000,88,-9.67,-35.74,24.0,1.5
174,Ivangorod,80,RU,1547965298,85,59.38,28.23,-4.46,6.61
175,Mahebourg,40,MU,1547964000,66,-20.41,57.7,30.0,7.2
176,Svetlogorsk,90,RU,1547962200,85,53.14,59.15,-7.0,5.0
177,Sola,75,NO,1547963400,80,58.89,5.65,2.0,4.1
178,Karaton,40,ID,1547962200,66,-6.34,106.1,30.0,3.6
179,Opunake,36,NZ,1547965299,87,-39.45,173.86,18.49,9.26
180,Abha,40,SA,1547964000,67,18.22,42.5,16.0,3.1
181,Esperance,20,TT,1547960400,94,10.24,-61.45,22.0,2.31
182,Ikalamavony,76,MG,1547965300,94,-21.17,46.6,21.89,1.46
183,New Norfolk,0,AU,1547962200,26,-42.78,147.06,27.0,8.2
184,Nabire,44,ID,1547964939,71,-3.36,135.5,27.59,0.96
185,Vardo,90,US,1547964000,85,39.62,-77.74,2.2,3.6
186,East London,75,ZA,1547964000,59,-33.02,27.91,19.0,2.1
187,Aswan,0,EG,1547965302,94,24.09,32.9,6.99,1.41
188,Ferrol,40,ES,1547962200,87,43.48,-8.23,10.0,5.1
189,Constitucion,0,MX,1547965008,73,23.99,-104.67,0.39,1.26
190,Tessalit,0,ML,1547964982,35,20.2,1.01,3.09,3.51
191,Taunggyi,0,MM,1547965303,60,20.78,97.03,21.04,1.56
192,Redmond,1,US,1547964900,82,47.67,-122.12,7.8,2.1
193,Gumdag,44,TM,1547965303,99,39.2,54.59,4.29,2.76
194,Guerrero Negro,0,MX,1547964941,65,27.97,-114.04,11.34,2.66
195,Belaya Gora,12,RU,1547965304,0,68.54,146.19,-45.31,1.26
196,Santa Cruz,1,US,1547964900,93,36.97,-122.03,14.4,0.46
197,Chapais,1,CA,1547963340,65,49.78,-74.86,-38.0,1.5
198,Leningradskiy,48,RU,1547965078,79,69.38,178.42,-22.06,6.81
199,Powell,90,US,1547963700,84,40.16,-83.08,-3.3,11.3
200,Dunedin,56,NZ,1547964950,67,-45.87,170.5,15.39,9.31
201,Ilulissat,88,GL,1547963400,77,69.22,-51.1,-18.0,5.1
202,Coahuayana,48,MX,1547964923,75,18.62,-100.35,15.54,0.91
203,Kisangani,36,CD,1547965308,89,0.52,25.21,24.19,1.36
204,Qaanaaq,0,GL,1547964936,100,77.48,-69.36,-32.51,4.91
205,Kahului,20,US,1547964540,81,20.89,-156.47,22.2,4.1
206,Bocana de Paiwas,56,NI,1547965309,87,12.79,-85.12,21.59,2.06
207,Turtas,92,RU,1547965309,72,58.94,69.13,-9.66,1.96
208,Saint-Pierre,80,FR,1547962200,81,48.95,4.24,2.0,2.6
209,Tuktoyaktuk,75,CA,1547960400,76,69.44,-133.03,-20.0,3.6
210,Uglegorsk,44,RU,1547965311,76,49.08,142.06,-12.86,3.41
211,Barrow,0,AR,1547964937,66,-38.31,-60.23,17.39,5.96
212,Tual,88,ID,1547964998,100,-5.67,132.75,26.44,7.71
213,Shahrud,0,IR,1547965311,79,36.42,54.97,-3.11,1.61
214,Namibe,80,AO,1547964955,100,-15.19,12.15,23.74,1.56
215,Tazovskiy,64,RU,1547965031,80,67.47,78.7,-15.51,4.66
216,Talnakh,64,RU,1547964980,71,69.49,88.39,-17.41,5.41
217,Watsa,12,CD,1547965313,82,3.04,29.53,22.74,1.61
218,Longyearbyen,20,NO,1547959800,64,78.22,15.63,-19.0,2.6
219,Mao,20,DO,1547964000,94,19.55,-71.08,23.0,5.1
220,Pevek,36,RU,1547964940,100,69.7,170.27,-30.51,2.61
221,Hobyo,36,SO,1547965078,78,5.35,48.53,25.69,7.71
222,Mayor Pablo Lagerenza,68,PY,1547965055,64,-19.93,-60.77,25.49,3.06
223,Palu,76,ID,1547965314,81,-0.9,119.87,24.94,0.76
224,Honningsvag,80,NO,1547965149,100,70.98,25.97,-3.51,6.26
225,Gunjur,0,GM,1547964000,36,13.18,-16.76,18.0,3.6
226,Port Arthur,1,US,1547964000,66,29.9,-93.93,5.0,7.2
227,Maningrida,76,AU,1547965100,97,-12.05,134.23,28.04,4.76
228,Imbituba,75,BR,1547964000,78,-28.24,-48.67,23.0,6.2
229,Quimper,75,FR,1547962200,93,48.0,-4.1,6.0,3.1
230,Gulistan,92,UZ,1547965317,100,40.5,68.78,0.99,2.16
231,Sur,0,OM,1547965002,100,22.57,59.53,21.59,5.56
232,Torbay,40,CA,1547960400,72,47.66,-52.73,-10.0,5.1
233,Norman Wells,40,CA,1547960400,75,65.28,-126.83,-29.0,1.5
234,Khash,0,IR,1547965096,42,28.22,61.21,8.29,2.06
235,Odesskoye,76,RU,1547965318,87,54.21,72.97,-8.71,4.91
236,Tera,40,CY,1547962200,81,34.97,32.42,11.0,4.1
237,Fort Nelson,90,CA,1547960400,84,58.81,-122.69,-19.0,1.5
238,Biak,20,ID,1547965032,83,-0.91,122.88,29.69,1.16
239,Iracoubo,92,GF,1547965319,82,5.48,-53.21,24.99,2.56
240,Oranjestad,20,AW,1547960400,78,12.52,-70.03,26.0,9.8
241,Mazyr,76,BY,1547965320,84,52.05,29.27,-6.01,4.36
242,Chepareria,0,KE,1547965320,63,1.32,35.2,17.49,0.61
243,Zhezkazgan,90,KZ,1547964000,85,47.8,67.71,-5.0,5.0
244,Tolstoy-Yurt,0,RU,1547964000,66,43.44,45.77,0.0,1.21
245,Bathsheba,40,BB,1547964000,78,13.22,-59.52,25.0,5.1
246,Mumford,0,GH,1547965322,93,5.26,-0.76,24.09,3.11
247,Sorong,12,ID,1547964970,99,-0.86,131.25,29.39,4.81
248,Khovu-Aksy,20,RU,1547965322,64,51.13,93.72,-19.46,1.41
249,Tecoanapa,90,MX,1547962980,94,16.99,-99.26,24.0,1.0
250,Chivilcoy,0,AR,1547965323,72,-34.9,-60.02,16.79,4.36
251,Pimentel,80,BR,1547965045,98,-3.7,-45.5,22.99,0.86
252,Tres Arroyos,0,AR,1547965323,66,-38.38,-60.28,17.39,5.96
253,Lompoc,1,US,1547963760,85,34.64,-120.46,13.3,1.31
254,San Cristobal,75,EC,1547964000,100,-0.39,-78.55,13.0,2.1
255,Astorga,8,ES,1547962200,99,42.46,-6.05,1.0,1.0
256,Sinor,0,IN,1547964000,34,21.91,73.34,27.0,1.5
257,Shenjiamen,0,CN,1547965053,98,29.96,122.3,8.94,10.51
258,Necochea,0,AR,1547965226,79,-38.55,-58.74,15.34,6.11
259,Rio Grande,88,BR,1547964934,95,-32.03,-52.1,21.19,6.71
260,Challans,90,FR,1547962200,100,46.85,-1.88,4.0,1.5
261,Cockburn Town,0,TC,1547965113,100,21.46,-71.14,25.69,8.86
262,Chokurdakh,24,RU,1547964959,0,70.62,147.9,-41.36,1.11
263,Broome,0,GB,1547963760,92,52.47,1.45,-3.0,0.5
264,Mareeba,40,AU,1547964000,66,-16.99,145.42,29.0,7.2
265,Mikhaylovka,8,RU,1547965328,58,52.96,103.29,-8.46,1.56
266,Acari,20,BR,1547964966,95,-6.44,-36.64,19.34,2.41
267,Igarka,76,RU,1547965329,82,67.47,86.57,-14.56,6.01
268,Srednekolymsk,12,RU,1547965120,0,67.46,153.71,-38.71,1.11
269,Port Hardy,40,CA,1547960400,100,50.7,-127.42,2.0,1.0
270,Jishou,92,CN,1547965330,100,28.26,109.7,4.04,3.86
271,Luderitz,0,NA,1547965082,55,-26.65,15.16,17.94,4.46
272,Moose Factory,1,CA,1547960400,73,51.26,-80.61,-35.0,2.6
273,Tura,0,IN,1547964997,69,25.52,90.21,21.69,1.51
274,Mayumba,80,GA,1547965331,100,-3.44,10.65,25.24,3.11
275,Baoqing,48,CN,1547965331,38,46.32,132.2,-13.91,5.21
276,San Juan,75,PH,1547964000,55,14.6,121.03,31.0,3.1
277,Sotnikovskoye,76,RU,1547965333,96,45.0,43.79,0.29,3.16
278,Perevolotskiy,88,RU,1547965333,88,51.88,54.19,-4.46,3.96
279,Raudeberg,0,NO,1547963400,74,61.99,5.14,-1.0,5.1
280,Diamantino,36,BR,1547965334,95,-14.4,-56.44,22.74,2.01
281,Tougue,8,GN,1547965334,65,11.45,-11.68,11.14,1.86
282,Ceres,80,AR,1547965335,88,-29.88,-61.95,18.94,1.66
283,Farafangana,36,MG,1547965093,97,-22.82,47.83,27.94,6.36
284,Camacha,75,PT,1547962200,82,33.08,-16.33,16.0,9.3
285,Nishihara,20,JP,1547964000,34,35.74,139.53,12.0,1.5
286,Bam,0,IR,1547965336,41,29.11,58.36,4.34,1.31
287,Kuusamo,56,FI,1547963400,83,65.96,29.19,-22.0,4.1
288,Alvorada,75,BR,1547960400,94,-30.0,-51.08,20.0,4.1
289,Narsaq,20,GL,1547963400,47,60.91,-46.05,-9.0,9.3
290,Iskateley,88,RU,1547964941,75,67.68,53.15,-11.16,1.66
291,Nakamura,75,JP,1547964000,87,35.17,136.87,7.0,5.7
292,Awbari,0,LY,1547965102,67,26.59,12.77,8.59,3.51
293,Ust-Maya,32,RU,1547965339,0,60.42,134.54,-38.06,1.16
294,Jangaon,0,IN,1547965339,68,17.72,79.16,26.84,1.91
295,Kenai,1,US,1547963760,82,60.55,-151.26,-17.2,3.21
296,Udayagiri,0,IN,1547965340,37,12.32,76.68,26.34,3.86
297,Mount Isa,0,AU,1547962200,16,-20.73,139.49,42.0,6.7
298,Zarate,75,PE,1547964000,88,-13.68,-76.08,21.0,3.1
299,Bose,0,IT,1547963400,100,45.46,8.01,-1.0,0.5
300,Phuthaditjhaba,8,ZA,1547965341,73,-28.53,28.82,10.69,1.31
301,Kailua,90,US,1547964240,90,21.39,-157.74,24.4,2.6
302,Walvis Bay,75,NA,1547960400,82,-22.95,14.51,16.0,4.1
303,Geraldton,5,CA,1547962020,66,49.72,-86.95,-34.0,1.0
304,Hamilton,90,CA,1547962800,77,43.26,-79.87,-15.0,7.7
305,Mount Gambier,0,AU,1547960400,53,-37.83,140.78,25.0,7.2
306,Alofi,88,NU,1547964000,88,-19.06,-169.92,28.0,2.1
307,Goderich,64,CA,1547965050,98,43.74,-81.71,-13.76,7.81
308,Galle,1,US,1547963760,59,29.74,-97.91,5.6,4.1
309,Lulea,12,SE,1547963400,76,65.58,22.15,-21.0,1.5
310,Sao Filipe,8,CV,1547964867,98,14.9,-24.5,21.44,7.96
311,Kandi,24,BJ,1547965344,31,11.13,2.93,21.69,3.91
312,Jiuquan,8,CN,1547965344,81,39.73,98.49,-8.76,1.16
313,Mount Vernon,90,US,1547964180,95,40.91,-73.84,3.3,6.06
314,Dumas,0,IN,1547965345,85,21.09,72.71,23.94,2.66
315,Saint-Joseph,88,FR,1547964000,93,43.56,6.97,7.0,1.5
316,Papara,40,BR,1547964000,94,-3.98,-38.73,25.0,1.0
317,Avera,90,US,1547963700,83,33.19,-82.53,15.0,2.6
318,Kautokeino,0,NO,1547965346,50,69.01,23.04,-23.51,1.41
319,Riyadh,5,SA,1547964000,42,24.63,46.72,9.0,1.5
320,Viedma,0,AR,1547965347,34,-40.81,-62.99,23.64,8.41
321,Jian,0,IN,1547965347,57,25.65,87.89,22.49,2.01
322,Araouane,0,ML,1547965016,40,18.9,-3.53,3.74,3.21
323,Obukhiv,88,UA,1547964600,84,50.11,30.63,-11.0,1.0
324,Finnsnes,48,NO,1547963400,83,69.23,17.98,-5.0,5.7
325,Urmary,75,RU,1547964000,92,55.68,47.94,-8.0,4.0
326,Lakes Entrance,0,AU,1547965350,78,-37.88,147.99,22.59,3.11
327,Velingrad,90,BG,1547960400,100,42.03,23.99,3.0,1.0
328,Kanye,24,BW,1547965350,80,-24.98,25.34,20.39,7.56
329,Harper,1,US,1547963700,80,30.3,-99.24,1.1,4.21
330,Barahona,36,DO,1547965351,100,18.21,-71.1,25.04,7.01
331,Puerto Narino,0,CO,1547964000,100,-3.77,-70.38,22.0,1.96
332,Preobrazheniye,12,RU,1547964998,41,42.9,133.91,-12.96,3.61
333,Murwillumbah,0,AU,1547964000,61,-28.33,153.4,32.0,4.6
334,Lata,56,IN,1547964938,73,30.78,78.62,8.84,0.86
335,San Jose,0,PH,1547965353,69,15.79,120.99,27.19,2.11
336,Syamzha,64,RU,1547965353,80,60.02,41.06,-11.31,4.41
337,Moussoro,8,TD,1547965353,49,13.64,16.49,13.49,1.81
338,Leh,56,IN,1547964988,84,34.16,77.58,-20.91,0.16
339,Whitehorse,75,CA,1547960400,77,60.72,-135.06,-15.0,2.6
340,Sabang,92,PH,1547965355,100,13.72,123.58,23.84,8.01
341,Upington,0,ZA,1547964000,14,-28.46,21.24,25.0,1.5
342,Hashtrud,0,IR,1547965355,71,37.48,47.05,-8.06,1.31
343,Ouesso,0,CG,1547965356,91,1.61,16.05,23.69,1.46
344,Port-Gentil,40,GA,1547964000,94,-0.72,8.78,26.0,1.0
345,Lebu,0,ET,1547965005,53,8.96,38.73,13.34,1.76
346,Sinnamary,100,GF,1547965357,96,5.38,-52.96,25.99,5.71
347,Fereydun Kenar,40,IR,1547964000,81,36.69,52.52,6.0,2.1
348,Touros,40,BR,1547960400,83,-5.2,-35.46,26.0,1.5
349,Inirida,68,CO,1547965191,98,3.87,-67.92,22.84,0.96
350,Saint-Augustin,44,FR,1547962200,100,44.83,-0.61,6.0,1.0
351,Camopi,80,GF,1547965080,100,3.17,-52.33,22.29,0.91
352,San Patricio,12,PY,1547964996,89,-26.98,-56.83,19.84,1.86
353,Clyde River,90,CA,1547961720,82,70.47,-68.59,-29.0,5.21
354,Diu,0,IN,1547965358,35,20.71,70.98,27.99,1.76
355,Jahanabad,0,IR,1547964000,69,33.86,48.17,1.0,2.1
356,Ugoofaaru,8,MV,1547965125,100,5.67,73.0,26.74,3.41
357,Stantsionno-Oyashinskiy,88,RU,1547965359,92,55.47,83.82,-4.01,6.11
358,San Quintin,0,PH,1547965076,59,17.54,120.52,28.64,0.96
359,Nemuro,75,JP,1547964000,62,43.32,145.57,-4.0,1.0
360,Marsh Harbour,8,BS,1547965360,100,26.54,-77.06,23.59,7.76
361,Copiapo,0,CL,1547964000,82,-27.37,-70.33,16.0,1.5
362,Sakaiminato,75,JP,1547964000,53,35.55,133.23,10.0,10.3
363,Dauriya,20,RU,1547964974,50,49.93,116.85,-8.11,5.01
364,Takoradi,8,GH,1547965361,100,4.89,-1.75,26.19,2.71
365,Port Keats,12,AU,1547965362,81,-14.25,129.55,33.74,1.36
366,Iqaluit,5,CA,1547962260,74,63.75,-68.52,-31.0,2.1
367,Kruisfontein,0,ZA,1547964994,78,-34.0,24.73,17.99,2.31
368,Curup,68,ID,1547965362,76,-3.47,102.53,25.94,0.96
369,Hilo,20,US,1547963580,86,19.71,-155.08,20.6,1.5
370,Fukue,75,JP,1547964000,87,35.03,136.69,7.0,5.7
371,Telford,90,GB,1547963400,100,52.68,-2.45,4.0,1.5
372,Ippy,0,CF,1547965363,65,6.26,21.2,19.34,2.21
